ID_PROJET,INTITULE_PROJET,INTITULE_CLEAN,CLUSTER,CONFIANCE,NOM_CLUSTER
54A009P00008,Acquisition des matériels roulants pour les services de la Cour Permanente,acquisition des matériels roulants pour les services de la cour permanente,1,0.72564155,Acquisition · Services de · Matériels roulants
54A009P00005,Acquisition du matériel informatique,acquisition du matériel informatique,1,0.82289815,Acquisition · Services de · Matériels roulants
56A009P0001,Aménagement d'une salle de conférence moderne pour visioconférence,aménagement d'une salle de conférence moderne pour visioconférence,3,0.90619576,De · Une · Cour
55A009P0001,Construction d'une passerelle et sécurisation des bâtiments de la Cour Permanente,construction d'une passerelle et sécurisation des bâtiments de la cour permanente,3,0.96073264,De · Une · Cour
54A009P00011,Construction du Centre des Archives de l’Unité Spéciale,construction du centre des archives de l unité spéciale,3,0.8062536,De · Une · Cour
54A009P00001,Mise à niveau du portail Web de la Cour Permanente,mise à niveau du portail web de la cour permanente,3,0.74586785,De · Une · Cour
54A009P00018,Mise en place d’un Système de Sécurité Incendie à l’Unité Spéciale,mise en place d un système de sécurité incendie à l unité spéciale,0,0.83605045,Un système · Place un · Système
54A009P00015,Mise en place d’un Système de Vidéosurveillance à l’Unité Spéciale,mise en place d un système de vidéosurveillance à l unité spéciale,0,0.86639166,Un système · Place un · Système
54A009P00002,Mise en place d’une application hypermoderne,mise en place d une application hypermoderne,2,0.7942407,Place une · Une · Mise
54A009P00020,Mise en place d’une Bibliothèque Multimédia,mise en place d une bibliothèque multimédia,2,0.61853546,Place une · Une · Mise
55A009P0003,Mise en place d’une plateforme de messagerie professionnelle à la Cour Permanente,mise en place d une plateforme de messagerie professionnelle à la cour permanente,3,0.9611156,De · Une · Cour
55A009P0002,Réhabilitation d’une dépendance de la Cour Permanante,réhabilitation d une dépendance de la cour permanante,3,0.96180534,De · Une · Cour
